predicate;formula;frequency;closest_solution;closest_solution_edit_distance
this/Inv2;(all ref0:(one Component)|(ref0 !in (ref0 . (Component <: parts))));26;(all ref0:(one Product)|(ref0 !in (ref0 . (^ (Component <: parts)))));3
this/Inv1;(some (Component . (Component <: parts)));11;(all ref0:(one Component)|(some (ref0 . (Component <: parts))));3
this/Inv2;(all ref0:(one Component)|(no (ref0 & (ref0 . (Component <: parts)))));10;(all ref0:(one Component)|(no (ref0 & (ref0 . (^ (Component <: parts))))));3
this/Inv1;(iden in ((Component <: parts) . (~ (Component <: parts))));7;((iden & (Component -> Component)) in ((Component <: parts) . (~ (Component <: parts))));4
this/Inv4;(all ref0:(one Component)|((ref0 . (Component <: parts)) in ((ref0 . (Component <: position)) . (~ (^ (ordering/next[]))))));5;(all ref0:(one Component)|(((ref0 . (Component <: parts)) . (Component <: position)) in ((ref0 . (Component <: position)) . (* (ordering/prev[])))));9
this/Inv4;(all ref0:(one Position)|(no ((((Component <: position) . ref0) . (Component <: parts)) & (((Component <: position) . (ref0 . (^ (ordering/next[])))) . (Component <: parts)))));5;(all ref0:(one Component)|(no (((ref0 . (Component <: position)) . (^ (ordering/next[]))) & ((ref0 . (^ (Component <: parts))) . (Component <: position)))));13
this/Inv1;(some (Component <: parts));4;(all ref0:(one Component)|(some (ref0 . (Component <: parts))));3
this/Inv4;(all ref0:(one Component),ref1:(one (ref0 . (Component <: parts)))|((ref1 . (Component <: position)) !in (ordering/nexts[(ref0 . (Component <: position))])));4;(all ref0:(one Component),ref1:(one ((ref0 . (Component <: parts)) & Component))|((ref1 . (Component <: position)) !in (ordering/nexts[(ref0 . (Component <: position))])));4
this/Inv4;(all ref0:(one Component)|((ref0 . (Component <: position)) !in ((ref0 . (Component <: position)) . (^ (ordering/next[])))));4;(all ref0:(one Component),ref1:(one ((ref0 . (Component <: parts)) . (Component <: position)))|(ref1 !in ((ref0 . (Component <: position)) . (^ (ordering/next[])))));7
this/Inv4;(all ref0:(one Component)|(((ref0 . (^ (Component <: parts))) . (Component <: position)) in (ordering/prevs[(ref0 . (Component <: position))])));4;(all ref0:(one Component)|(((ref0 . (^ (Component <: parts))) . (Component <: position)) in ((ordering/prevs[(ref0 . (Component <: position))]) + (ref0 . (Component <: position)))));6
this/Inv1;(all ref0:(one Component)|(lone (ref0 . (Component <: parts))));3;(all ref0:(one Component)|(some (ref0 . (Component <: parts))));4
this/Inv2;(all ref0:(one Component)|(no (ref0 . (ref0 <: (Component <: parts)))));3;(all ref0:(one Component)|(no (ref0 & (ref0 . (^ (Component <: parts))))));7
this/Inv3;(all ref0:(one Component),ref1:(one Robot)|((ref0 . (Component <: position)) = (ref1 . (Robot <: position))));3;(all ref0:(one Component)|(some ref1:(one Robot)|((ref0 . (Component <: position)) = (ref1 . (Robot <: position)))));4
this/Inv3;(all ref0:(one Component)|(some (ref0 . (Component <: position))));3;(all ref0:(one Component)|(some ((ref0 . (Component <: position)) & (Robot . (Robot <: position)))));6
this/Inv4;(all ref0:(one Component)|(one ((ref0 . (Component <: position)) + ((ref0 . (^ (Component <: parts))) . (Component <: position)))));3;(all ref0:(one Component)|(no (((ref0 . (Component <: position)) . (^ (ordering/next[]))) & ((ref0 . (^ (Component <: parts))) . (Component <: position)))));9
