predicate;formula;frequency;closest_solution;solution_distance
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 !in Trash) && (ref1 !in Trash))));36;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
this/inv7;(all ref0:(one File)|((some ref1:(one File)|((ref0 -> ref1) in (File <: link))) => (ref0 !in Trash)));23;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
this/inv7;(all ref0:(one File)|((ref0 . (File <: link)) !in Trash));23;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref0 !in Trash)));22;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
this/inv5;(all ref0:(one File)|((ref0 !in Protected) && (ref0 in Trash)));14;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));4
this/inv1;(all ref0:(one File)|(ref0 in Trash));11;(no ref0:(one File)|(ref0 in Trash));2
this/inv4;(all ref0:(one File)|((ref0 !in Trash) && (ref0 in Protected)));10;(all ref0:(one Protected)|(ref0 !in Trash));6
this/inv4;(Protected !in Trash);8;(all ref0:(one Protected)|(ref0 !in Trash));3
this/inv6;(all ref0:(one File)|(some (ref0 . (File <: link))));8;(all ref0:(one File)|(lone (ref0 . (File <: link))));4
this/inv2;(no File);7;(no (File - Trash));2
this/inv6;(all ref0:(one File),ref1:(one File)|((ref0 -> ref1) in (File <: link)));7;((File <: link) in (File ->lone File));8
this/inv5;(all ref0:(one File)|((ref0 in Trash) => (ref0 !in Protected)));7;(all ref0:(one File)|((ref0 !in Trash) => (ref0 in Protected)));6
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref0 in Trash))));6;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));6
this/inv7;(no (Trash . (File <: link)));5;(no ((File <: link) . Trash));2
this/inv6;(lone (File . (File <: link)));5;(all ref0:(one File)|(lone (ref0 . (File <: link))));3
this/inv6;(all ref0:(one File)|(one (ref0 . (File <: link))));5;(all ref0:(one File)|(lone (ref0 . (File <: link))));4
this/inv6;(all ref0:(one File)|(some ref1:(one File)|((ref0 -> ref1) in (File <: link))));5;((File <: link) in (File ->lone File));8
this/inv6;(all ref0:(one File),ref1:(one File)|((ref0 != ref1) => (no ((ref0 . (File <: link)) & (ref1 . (File <: link))))));5;(all ref0:(one File)|(lone (ref0 . (File <: link))));13
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref0 = ref1)));4;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));8
this/inv7;(all ref0:(one File),ref1:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref1 -> ref0) in (File <: link))) => ((ref0 !in Trash) && (ref1 !in Trash))));4;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));14
this/inv7;(all ref0:(one File),ref1:(one File)|((ref0 !in Trash) && ((ref0 -> ref1) in (File <: link)) && (ref1 !in Trash)));4;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));9
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 !in Trash) || (ref1 !in Trash))));4;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
this/inv7;(all ref0:(one File),ref1:(one File)|((ref0 !in Trash) && ((ref0 -> ref1) in (File <: link))));4;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));9
this/inv7;(all ref0:(one File)|((all ref1:(one File)|((ref1 -> ref0) in (File <: link))) => (ref0 !in Trash)));4;(all ref0:(one File)|((some ref1:(one File)|((ref1 -> ref0) in (File <: link))) => (ref0 !in Trash)));4
