Challenge;Predicate;Expression;Popularity
dkZH6HJNQNLLDX6Aj;inv1;Photo in User.posts;14
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | some u:User | p in u.posts;50
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | all u:User | (p in u.posts);41
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one post: User.posts + Influencer.posts | p in post;1
dkZH6HJNQNLLDX6Aj;inv1;all u:User | lone posts.u;3
dkZH6HJNQNLLDX6Aj;inv1;User.posts in Photo;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo| p in p.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo| one (p & Photo) and p in User.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | lone posts.p;17
dkZH6HJNQNLLDX6Aj;inv1;all i : Influencer | all p : Photo | all u : User-i | p in u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;one u: User | some u.posts;2
dkZH6HJNQNLLDX6Aj;inv1;one u:User| all p:Photo| one u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x: User | lone x.posts;4
dkZH6HJNQNLLDX6Aj;inv1;all u:User | lone p:Photo | p in u.posts;2
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo| p in posts.p;3
dkZH6HJNQNLLDX6Aj;inv1;all u: User | one u.posts;7
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | some posts.x;20
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | some y : User | y->x in posts;87
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo|all u:User|#(~posts[p])<=1;5
dkZH6HJNQNLLDX6Aj;inv1;one u: User | all p: Photo | some p.~posts;2
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | p in User.posts;54
dkZH6HJNQNLLDX6Aj;inv1;all u:User | one p:Photo | p in u.posts;4
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | one u:User | u -> p in posts all u:User | u -> u not in follows;3
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo, u:User | u->p in posts implies one u;1
dkZH6HJNQNLLDX6Aj;inv1;(Photo + Ad) in User.posts;2
dkZH6HJNQNLLDX6Aj;inv1;one u:User| all p:Photo | p in u.posts;3
dkZH6HJNQNLLDX6Aj;inv1;one u: User | Photo in u.posts;2
dkZH6HJNQNLLDX6Aj;inv1;no posts;6
dkZH6HJNQNLLDX6Aj;inv1;all u1,u2 : User, p : Photo | p in u1.posts and p in u2.posts implies u1 = u2;13
dkZH6HJNQNLLDX6Aj;inv1;all f : Photo | all u1, u2 : User | f in User.posts and (f in u1.posts and f in u2.posts implies u1 = u2);3
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one User.posts;6
dkZH6HJNQNLLDX6Aj;inv1;Photo in posts.Photo;1
dkZH6HJNQNLLDX6Aj;inv1;one u1,u2:User | all p:Photo | (u1->p in posts and u2->p in posts) implies u1!=u2;1
dkZH6HJNQNLLDX6Aj;inv1;one x:User| some p:Photo| x->p in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all u: User | u.posts in Photo;4
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | some y : User | y->x in posts all x : Photo | some y,z : User | y->x in posts and z->x in posts implies y = z;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo, u1: User, u2: User | u1->p in posts and u2->p in posts implies u1 = u2;16
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | one u: User | u.posts in p;2
dkZH6HJNQNLLDX6Aj;inv1;some (User.posts & Influencer.posts);1
dkZH6HJNQNLLDX6Aj;inv1;all p1: Photo, p2: Photo, u1: User, u2: User | p1 = p2 and u1->p1 in posts and u2->p2 in posts implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;all u1, u2 : User | all p : Photo | (u1->p) in posts and (u2->p) in posts implies u1=u2;22
dkZH6HJNQNLLDX6Aj;inv1;all ph:Photo | lone User.posts;4
dkZH6HJNQNLLDX6Aj;inv1;posts in (User -> Photo);3
dkZH6HJNQNLLDX6Aj;inv1;one posts.Photo;6
dkZH6HJNQNLLDX6Aj;inv1;all x: Photo | one x.posts;26
dkZH6HJNQNLLDX6Aj;inv1;Photo in User.posts or Ad in User.posts or Photo in Influencer.posts or Ad in Influencer.posts;1
dkZH6HJNQNLLDX6Aj;inv1;one y : User | all p:Photo | y->p in posts;7
dkZH6HJNQNLLDX6Aj;inv1;all u : User | all p : Photo | p in u.posts all p : Photo | one u : User | p in u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all ph:Photo, u1,u2:User | ph in u1.posts and ph in u2.posts implies u1 = u2;20
dkZH6HJNQNLLDX6Aj;inv1;all u:User, p:Photo | p in u.posts;4
dkZH6HJNQNLLDX6Aj;inv1;all u: User | one posts.u;8
dkZH6HJNQNLLDX6Aj;inv1;no (User->Photo).posts;1
dkZH6HJNQNLLDX6Aj;inv1;some p:Photo| one x:User| x->p in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p : User.posts | p in Photo;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one u : User | u->p in follows;1
dkZH6HJNQNLLDX6Aj;inv1;all disj x,y:User | no x.posts & y.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo| some u1, u2: User | p in u1.posts and p in u2.posts implies u1=u2;2
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | some u:User | lone posts.u;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo| one User.sees;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one p.date;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | one User;2
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo, u : User | one p & u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y,z : User | x in y.posts implies x not in z.posts all ad : Ad | all x : Photo | x not in ad;2
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | User in posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;all u : User | all p : Photo | p in posts[u] => one d : Day | p.date = d;1
dkZH6HJNQNLLDX6Aj;inv1;one posts.Photo & User;1
dkZH6HJNQNLLDX6Aj;inv1;all x : Photo | all y : User | y->x in posts all x : Photo | all y,z : User | y->x in posts and z->x in posts implies y = z;1
dkZH6HJNQNLLDX6Aj;inv1;one u: User | all p: Photo | u in posts.p;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | all u : User | u.posts in p;2
dkZH6HJNQNLLDX6Aj;inv1;all i1, i2 : Photo | some u : User | i1 -> u in posts and i2 -> u in posts;4
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | all u : User | p in u.posts all p : Photo | all u1,u2 : User | (p in u1.posts and p in u2.posts) implies u1=u2;3
dkZH6HJNQNLLDX6Aj;inv1;(all p : Photo | some u : User | p in u.posts) && all u1,u2 : User | one p : Photo| p in u1.posts and p in u2.posts implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;one posts.Photo Photo in User.posts all u : User | u not in u.follows;1
dkZH6HJNQNLLDX6Aj;inv1;all f : Photo | f in User.posts all f : Photo | all u1, u2 : User | f in u1.posts+u2.posts implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;all u:User-Photo | some posts.u;1
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo, u1:User, u2:User | (p in u1.posts) implies (p not in u2.posts);7
dkZH6HJNQNLLDX6Aj;inv1;all x,y: User | all p: Photo | p in posts.x and p in posts.y implies x=y;2
dkZH6HJNQNLLDX6Aj;inv1;one Photo.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all u1, u2: User | some p : Photo | (p in u1.posts and p in u2.posts) implies u1=u2;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | lone u: User | p in u.posts;6
dkZH6HJNQNLLDX6Aj;inv1;all u : User | u not in u.follows all p : Photo | all u1,u2 : User | p in u1.posts implies p not in u2.posts;1
dkZH6HJNQNLLDX6Aj;inv1;posts in User one -> Photo not some p:Photo | all disj u1, u2:User | u1->p in posts and u2->p in posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p : univ | p in Photo implies some u : univ | u in User and u in posts.p;2
dkZH6HJNQNLLDX6Aj;inv1;posts in User lone -> one Photo;1
dkZH6HJNQNLLDX6Aj;inv1;posts.~posts in iden;4
dkZH6HJNQNLLDX6Aj;inv1;one photo : Photo | one user : User | photo in user.posts;3
dkZH6HJNQNLLDX6Aj;inv1;all p:Photo | some u:User | u->p in posts all u:User | u->u not in follows;1
dkZH6HJNQNLLDX6Aj;inv1;all u:User | u->u not in follows all u:User | u not in u.follows;1
dkZH6HJNQNLLDX6Aj;inv1;all img : Photo | img in posts.User;3
dkZH6HJNQNLLDX6Aj;inv1;lone p:Photo | lone u:User,i:Influencer | p in u.posts or p in i.posts;6
dkZH6HJNQNLLDX6Aj;inv1;all u: User | some u.follows;1
dkZH6HJNQNLLDX6Aj;inv1;posts in User some -> Photo;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo, u: User | p in u.posts implies p not in (User-u).posts;3
dkZH6HJNQNLLDX6Aj;inv1;one Photo & User;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | all u : User | p = u.posts;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | one u : User | u in u.posts;4
dkZH6HJNQNLLDX6Aj;inv1;all u1,u2 : User, p1 : Photo | (u1->p1 in posts and u2->p1 in posts) implies u1=u2 all u:User | u->u not in follows;1
dkZH6HJNQNLLDX6Aj;inv1;posts in Photo -> one User;3
dkZH6HJNQNLLDX6Aj;inv1;all i : Photo, u1, u2 : User | u1->i in posts and u2->i in posts implies u1 = u2 all u1,u2 : User, p : Photo | p in u1.posts and p in u2.posts implies u1 = u2;1
dkZH6HJNQNLLDX6Aj;inv1;all p : Photo | some post: User.posts + Influencer.posts | p in post;1
dkZH6HJNQNLLDX6Aj;inv1;all p: Photo | some u : User | p in u.posts all a : Ad| some u : User | a in u.posts;1
